OPP,MP-O,FG-O,FGA-O,FG%-O,3P-O,3PA-O,3P%-O,2P-O,2PA-O,2P%-O,FT-O,FTA-O,FT%-O,ORB-O,DRB-O,TRB-O,AST-O,STL-O,BLK-O,TOV-O,PF-O,PTS-O,MP-D,FG-D,FGA-D,FG%-D,3P-D,3PA-D,3P%-D,2P-D,2PA-D,2P%-D,FT-D,FTA-D,FT%-D,ORB-D,DRB-D,TRB-D,AST-D,STL-D,BLK-D,TOV-D,PF-D,PTS-D,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,OeFG%,OTOV%,ORB%,OFT/FGA,DeFG%,DTOV%,DRB%,DFT/FGA
DET,241.1,41.5,88.7,0.469,11.1,31.6,0.352,30.4,57,0.533,17.2,21.9,0.785,10.9,33.1,43.9,26.2,6.2,4.8,15.5,21.3,111.4,241.1,43.8,89.3,0.49,12.1,32.4,0.373,31.7,56.9,0.557,20.6,25.5,0.806,9.4,33,42.4,27,9,6,12.1,18.1,120.2,12,58,18,52,-8.79,0.28,-8.51,110.8,119.5,100.1,0.247,0.357,0.531,13.6,24.8,0.194,0.558,10.7,77.8,0.23
OKC,241.4,44.8,89.5,0.5,13.4,34.2,0.392,31.4,55.3,0.567,17.8,21.5,0.831,8.8,33,41.8,26.9,8.4,6.7,12.5,19.2,120.7,241.4,40.5,89.1,0.455,13.4,36.8,0.364,27.1,52.2,0.52,18.4,23.4,0.786,11.9,32.8,44.7,27,6.9,5.2,15.8,19,112.9,49,20,50,19,7.88,-0.37,7.52,120.2,112.4,99.8,0.24,0.382,0.575,11.2,21.2,0.199,0.53,13.7,73.4,0.206
DEN,240.4,43.9,88.6,0.496,11.4,30.7,0.371,32.5,57.9,0.562,15.4,20.2,0.762,10.8,33.4,44.2,29.2,7,5.5,12.6,18.1,114.6,240.4,40.8,87.8,0.465,11.2,31.2,0.36,29.6,56.6,0.523,17.2,22.1,0.777,10.9,31.3,42.2,25.6,7.1,4.8,12.2,18.2,110.1,50,21,45,26,4.55,0.13,4.68,118.4,113.7,96.7,0.227,0.347,0.56,11.4,25.6,0.173,0.529,11.1,75.4,0.196
MIN,241.8,41.3,85.4,0.484,12.6,32.4,0.387,28.8,53,0.543,17.9,22.9,0.781,9.5,34.5,44,26.4,7.6,6.1,14.2,19.1,113.1,241.8,39,87,0.448,11.3,32.3,0.351,27.7,54.7,0.505,17.2,21.9,0.786,10.4,31,41.4,24.4,7.4,4.8,14.1,19.9,106.5,48,22,49,21,6.66,0.06,6.72,115.7,108.9,97.1,0.268,0.38,0.558,12.9,23.5,0.21,0.513,12.7,76.9,0.198
LAC,240.4,42.6,86.5,0.492,13,33.5,0.388,29.6,52.9,0.558,18.5,22.5,0.82,9.9,32.7,42.6,25.7,7.9,5.2,13.1,18.7,116.6,240.4,41.7,88.8,0.469,12.9,35.2,0.365,28.8,53.6,0.537,16.3,21.1,0.776,11.1,30.8,41.9,26.5,7.2,4.5,13.2,19.2,112.5,44,25,43,26,4.06,0.06,4.12,119.7,115.5,97.3,0.26,0.388,0.567,12,24.3,0.214,0.542,11.8,74.6,0.184
NOP,240.4,42.9,87.7,0.49,12.3,32.3,0.381,30.6,55.4,0.553,17.6,23,0.768,10.7,33.9,44.6,27.1,8.2,4.9,13.2,18.6,115.8,240.4,40.3,87.8,0.459,13.4,38.9,0.345,26.9,48.9,0.55,16.5,21,0.782,10.3,31.8,42.2,26.7,6.6,5.3,14.1,18.5,110.5,43,27,46,24,5.23,-0.11,5.12,117.8,112.5,98.1,0.262,0.368,0.56,11.9,25.2,0.201,0.536,12.7,76.7,0.187
PHO,241.4,42.8,86.3,0.496,12.2,32.1,0.381,30.6,54.2,0.564,19.4,24.1,0.805,10.2,34,44.2,27,7.3,6.1,14.9,18.2,117,241.4,42.3,91.2,0.463,13.4,36.6,0.365,28.9,54.6,0.53,16.4,21.4,0.765,11.3,30,41.3,26.3,8.3,4.6,12.6,20.1,114.3,42,29,42,29,2.99,-0.56,2.43,118.2,115.2,98.6,0.279,0.372,0.567,13.3,25.4,0.225,0.537,11.1,75.1,0.179
SAC,242.5,43.9,91.1,0.482,14.2,39,0.365,29.7,52.1,0.57,15.7,21.1,0.744,10.6,33.2,43.8,28.6,7.6,4.1,13.4,20.1,117.8,242.5,42.3,87.3,0.484,13.1,33.6,0.39,29.2,53.7,0.543,18.7,23.3,0.806,9,33.3,42.4,27.4,7.5,4.6,13.9,18.5,116.3,41,29,38,32,1.41,0.29,1.7,117.2,115.8,99.4,0.231,0.428,0.56,11.8,24.1,0.172,0.559,12.5,78.6,0.215
DAL,240,43.3,89.8,0.482,14.5,39.4,0.369,28.8,50.5,0.571,17.5,23,0.758,9.8,32.6,42.4,25.6,6.8,4.7,12.4,18.7,118.6,240,43.4,90.4,0.48,13.2,35.8,0.367,30.2,54.6,0.554,17.1,22.3,0.768,11.1,33.9,45,27.7,7.2,4.1,13.7,20.7,117,41,29,38,32,1.6,0.26,1.86,118.3,116.7,100.3,0.256,0.438,0.563,11,22.5,0.194,0.553,12,74.6,0.189
LAL,241.8,43.6,87.4,0.499,11.7,30.9,0.377,31.9,56.5,0.565,18.4,23.8,0.773,8.1,34.6,42.7,28.6,7.4,5.5,13.7,15.9,117.2,241.8,44.3,93.6,0.473,14.1,37.8,0.372,30.2,55.8,0.541,14.6,18.2,0.802,11.1,33.2,44.3,28.3,8,4.8,13.1,19.6,117.2,38,32,35,35,-0.01,0.67,0.65,115.7,115.7,100.6,0.273,0.353,0.565,12.3,19.6,0.211,0.548,11.4,75.8,0.156
GSW,242.2,43.7,92.5,0.473,14.8,39.4,0.376,28.9,53,0.545,16.1,20.8,0.778,12.5,34.3,46.9,29.2,6.8,4.4,14.2,19.8,118.5,242.2,42.7,90.8,0.47,13.2,36.9,0.358,29.5,53.9,0.546,18.3,23,0.794,10.9,32.5,43.4,26.9,7.7,5.1,13,18.6,116.9,36,33,38,31,1.59,0.41,2,117.8,116.2,99.6,0.224,0.427,0.553,12.3,27.8,0.175,0.543,11.4,75.9,0.201
HOU,241.8,41.8,90.6,0.462,12.5,35.3,0.354,29.3,55.3,0.53,18.1,23.5,0.771,11.4,34.6,46,24.9,7.7,4.6,12.9,21,114.3,241.8,40.5,88.1,0.46,12.3,35.5,0.347,28.2,52.6,0.536,19.3,25.6,0.755,10.6,34,44.6,24.4,7.3,5.8,13.5,19.6,112.7,35,35,38,32,1.6,0.08,1.68,114.4,112.8,99.1,0.259,0.389,0.531,11.3,25.1,0.2,0.53,12,76.5,0.219
UTA,241.8,42.5,90.5,0.469,13,36.7,0.355,29.4,53.8,0.547,18.8,22.7,0.83,12.4,33.6,46,27.8,6.5,5.7,15.5,18.9,116.8,241.8,44.6,91.7,0.486,14.8,37.2,0.398,29.8,54.5,0.547,16.9,21.9,0.772,10.8,31.2,42,29.7,8.5,6.4,12.2,19.5,120.9,29,42,27,44,-4.08,0.49,-3.6,116.3,120.3,99.7,0.251,0.406,0.541,13.4,28.5,0.208,0.567,10.8,75.8,0.184
MEM,241.4,38.2,87.5,0.436,13.4,38.4,0.348,24.8,49.1,0.505,16.2,21.3,0.761,10.4,31.9,42.3,24.8,7.9,6.2,15.1,19.2,105.9,241.4,41.3,87.4,0.472,13.2,35.3,0.375,28.1,52.2,0.538,16.7,21.6,0.777,10.7,35.1,45.8,26.4,8.1,6.4,14.9,19.1,112.6,24,47,21,50,-6.65,0.56,-6.09,107.2,113.9,98.2,0.244,0.439,0.513,13.5,22.8,0.185,0.548,13.3,74.9,0.192
POR,242.8,39.6,89.3,0.443,11.7,33.1,0.354,27.9,56.2,0.496,16.9,21.3,0.794,12.3,29.6,42,23,7.8,4.5,15.1,20.4,107,242.8,42.8,86.8,0.493,11.6,32.9,0.353,31.2,53.9,0.578,18.7,23.8,0.789,10.8,33,43.8,27.2,8.8,6.4,14.6,18.2,115.9,19,52,19,52,-8.07,0.8,-7.27,109.5,117.7,97.3,0.238,0.371,0.509,13.3,27.2,0.189,0.56,13.1,73.3,0.216
SAS,241.1,41.9,90.7,0.462,12.5,36,0.346,29.4,54.8,0.538,15.7,20.1,0.783,10.4,33.3,43.7,29.6,7.2,6.4,15,17.5,112,241.1,45.1,91.7,0.492,12.8,34,0.378,32.2,57.7,0.558,16.5,21.3,0.779,10.5,34.8,45.4,28.1,8.8,4.7,13.4,18.2,119.5,15,56,20,51,-7.56,0.65,-6.91,110.1,117.5,101.2,0.221,0.397,0.53,13.1,23,0.174,0.562,11.7,76,0.18
